"","Year","Prefs","PrefsJP","総人口","総人口.男.","総人口.女.","日本人人口","日本人人口.男.","日本人人口.女.","X15歳未満人口","X15歳未満人口.男.","X15歳未満人口.女.","X15.64歳人口","X15.64歳人口.男.","X15.64歳人口.女.","X65歳以上人口","X65歳以上人口.男.","X65歳以上人口.女.","出生数","出生数.男.","出生数.女.","合計特殊出生率","死亡数","死亡数.男.","死亡数.女.","転入者数.日本人移動者.","転入者数.日本人移動者..男.","転入者数.日本人移動者..女.","転出者数.日本人移動者.","転出者数.日本人移動者..男.","転出者数.日本人移動者..女.","婚姻件数","離婚件数","年平均気温","最高気温.日最高気温の月平均の最高値.","最低気温.日最低気温の月平均の最低値.","降水日数.年間.","降水量.年間.","着工建築物数","着工建築物床面積","旅館営業施設数.ホテルを含む.","旅館営業施設客室数.ホテルを含む.","標準価格.平均価格..住宅地.","標準価格.平均価格..商業地.","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数.一般.","月間有効求職者数.一般.","月間有効求人数.一般.","充足数.一般.","就職件数.一般.","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","ごみ総排出量.総量.","X1人1日当たりの排出量","ごみのリサイクル率","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出.二人以上の世帯.","食料費.二人以上の世帯.","住居費.二人以上の世帯.","光熱.水道費.二人以上の世帯.","家具.家事用品費.二人以上の世帯.","被服及び履物費.二人以上の世帯.","保健医療費.二人以上の世帯.","交通.通信費.二人以上の世帯.","教育費.二人以上の世帯.","教養娯楽費.二人以上の世帯.","その他の消費支出.二人以上の世帯."
"121",2019,"R11000","埼玉県",7350000,3668000,3682000,7174000,3575000,3599000,881000,452000,429000,4508000,2331000,2177000,1961000,885000,1075000,48298,24799,23499,1.27,69537,38144,31393,165369,88645,76724,147406,80859,66547,33671,12067,16.1,33.6,-0.8,98,1460.5,35713,7200047,689,24567,113500,301600,530,6335,89327,814,20699,369326,447,12388,186053,62523,59362,194,11197,172219,56643,33092,12,28,239,4646,3989,111672,1664,46,22080,1264,106,27,21408,3312,129899,599970,705951,21830,25942,256980,49716,14877,15818,18869,4282442,1734964,1800585,736838,2328598,861,23.7,295,4378,3558,1363,115447,1208,112411,17793,337281,85210,14156,23565,14163,14075,17413,44741,20381,39730,63848
"133",2019,"R12000","千葉県",6259000,3105000,3155000,6141000,3051000,3090000,739000,379000,360000,3777000,1939000,1837000,1743000,786000,957000,40799,20844,19955,1.28,62004,33522,28482,146240,79475,66765,129053,71548,57505,28649,10072,16.8,32,2.4,117,1697,29718,6419988,1289,60163,74600,246000,488,5037,73309,790,18439,312865,400,10841,157078,53336,51252,182,9781,148326,48289,27005,8,27,190,4110,3196,104562,1489,169,21691,2528,100,18,21634,578,99812,492363,584308,18122,23254,242396,44376,12198,15606,16496,3700792,1422875,1581489,689721,2092336,905,21.3,255,3818,3273,1167,106425,1020,97620,15510,306737,77778,16015,21287,11949,11759,14900,46974,14700,32342,59032
"145",2019,"R13000","東京都",13921000,6846000,7075000,13405000,6589000,6817000,1553000,794000,760000,9158000,4663000,4496000,3209000,1389000,1820000,101818,52032,49786,1.15,120870,63222,57648,427307,222462,204845,340732,184521,156211,86059,22707,16.5,32.8,1.4,111,1874,47424,13951235,3308,188775,374300,2157900,985,11167,150270,1331,35103,614873,804,19524,300377,100463,95647,429,19265,310355,100178,66643,37,140,792,52097,11544,671221,5535,736,156932,14205,405,156,148394,26364,290694,1399719,2586510,77407,54230,764687,135619,15748,64352,54413,8702367,1786721,4039796,2781571,4407607,871,22.3,589,13707,10670,3114,308527,3690,279024,53881,332517,89185,26350,21419,11828,14291,16227,36886,19935,37702,58695
"157",2019,"R14000","神奈川県",9198000,4585000,4613000,8997000,4483000,4514000,1099000,563000,536000,5771000,2985000,2786000,2329000,1037000,1291000,63035,32367,30668,1.28,83968,44768,39200,214726,116340,98386,190875,106343,84532,45922,14890,16.9,32.7,2.9,111,1937,38708,8435889,1341,55024,179500,583000,645,7880,109053,889,25889,459003,476,14575,223830,75417,71362,235,12979,203674,65684,39958,14,30,340,5378,6120,177372,2664,168,35022,3352,108,12,27445,3493,155323,723534,767229,23310,27268,415424,70598,14506,27195,28580,5245160,1653014,2410932,1167014,2856077,848,24.1,289,6820,4948,1855,152564,750,141983,22703,307594,82908,19411,20405,10914,13015,16267,42400,14446,33373,54454
"169",2019,"R15000","新潟県",2223000,1078000,1145000,2206000,1071000,1135000,254000,130000,124000,1249000,637000,612000,720000,311000,409000,13640,6930,6710,1.38,30572,15032,15540,20178,11921,8257,28340,15535,12805,8742,2823,14.6,31.7,0.5,153,1352,14205,2008712,2062,44112,25900,75100,89,821,5873,456,8303,107351,232,4750,54441,18495,17883,102,4194,55030,18311,8776,5,20,94,2713,1394,26543,620,37,6040,1046,83,6,14642,114,68416,257143,419730,23462,23795,45383,11703,6749,3603,1296,1154860,843080,136582,171115,845564,1034,22.1,108,1671,1152,723,70781,2,62874,7125,294196,75753,10362,25991,11260,11081,11938,53272,11309,28054,55176
"181",2019,"R16000","富山県",1044000,506000,537000,1026000,498000,528000,119000,61000,58000,587000,301000,286000,337000,144000,193000,6604,3414,3190,1.53,13207,6555,6652,11663,6836,4827,13669,7603,6066,4226,1327,15.2,32.1,0.5,166,2097.5,7799,1157442,418,15576,30700,74500,47,337,2634,188,3574,49847,82,2109,27235,9304,9115,53,2237,27680,9192,5086,2,5,75,1133,1102,10561,456,10,2298,435,26,23,3198,3179,27781,105951,181932,9685,9990,26774,5919,3265,2041,587,596353,430035,62788,102006,404812,1046,23,87,762,443,301,32331,0,28398,2678,307640,78375,17603,25679,11687,10449,12506,51376,8174,29062,62729
"193",2019,"R17000","石川県",1138000,553000,585000,1123000,545000,579000,140000,71000,69000,661000,337000,324000,337000,144000,192000,7808,4000,3808,1.46,12900,6358,6542,17083,10176,6907,19639,11362,8277,4985,1532,15.8,32.1,1.3,158,2009.5,6356,1382613,743,27947,44100,118200,52,691,5530,204,4077,58793,89,2190,30109,10156,9993,56,2433,31532,10418,5879,5,13,97,2740,1402,26624,641,22,5739,890,38,20,4676,3426,29910,120346,203879,9778,9658,34248,7825,3652,2775,1286,741391,466952,136749,132552,389383,933,14.9,81,872,484,355,38907,0,35158,2918,355065,87124,24847,26311,10838,12923,14016,57709,17612,37560,66126
"205",2019,"R18000","福井県",768000,374000,394000,756000,368000,388000,97000,50000,47000,436000,222000,214000,235000,102000,133000,5307,2770,2537,1.56,9593,4753,4840,8384,5081,3303,11216,6299,4917,3320,1093,15.6,33,0.7,172,1851.5,4463,883137,949,15959,30100,54200,71,290,1567,196,3096,41062,82,1835,21206,7107,6978,35,1654,21856,7260,4130,2,6,32,1045,486,9922,253,1,2181,334,20,12,1550,1883,19024,70236,134802,7695,7760,20830,4827,2598,1653,563,483874,340676,59136,82315,275483,964,14.3,57,573,300,280,27936,10,25400,1998,286636,76582,14360,25639,12412,9321,12517,42775,11039,24358,57634
"217",2019,"R19000","山梨県",811000,397000,414000,798000,391000,407000,95000,48000,46000,466000,239000,228000,250000,110000,140000,5193,2631,2562,1.44,10083,5133,4950,12267,6973,5294,14620,7980,6640,3664,1356,15.9,33.8,-2.3,95,1168,4585,776305,1331,26332,24300,45600,57,515,3913,178,3123,39951,93,1849,21544,7319,6984,42,1829,24070,7888,4496,3,7,63,1278,1062,16047,509,92,3853,288,24,13,2535,423,22784,92155,119195,6165,6545,22763,4317,2869,827,571,449206,340702,62651,43964,298771,986,16.7,52,698,435,231,24172,0,19834,2171,298705,72356,19477,21427,9314,10562,12635,47038,6606,28479,70812
"229",2019,"R20000","長野県",2049000,1000000,1049000,2016000,985000,1030000,250000,128000,122000,1146000,585000,561000,653000,287000,366000,13553,6895,6658,1.57,26041,12863,13178,24948,14012,10936,29275,15739,13536,8809,2981,12.9,32.1,-4.5,111,1006,12101,2116480,2620,63713,25200,53400,95,943,8913,371,7260,105871,196,4690,56013,18924,18164,100,4431,56070,18506,9089,9,10,190,1636,2536,15911,1151,22,3268,750,60,20,6575,1620,56843,230336,354857,17766,17977,52797,12426,6868,3765,1787,1232606,835452,193831,202603,623271,816,20.5,112,1574,1013,568,61862,80,49131,6622,315017,74505,25124,24319,13614,10687,14404,47655,6496,33429,64785
"241",2019,"R21000","岐阜県",1987000,964000,1022000,1940000,941000,998000,248000,127000,121000,1140000,574000,565000,599000,263000,336000,12776,6463,6313,1.45,23417,11924,11493,25093,14219,10874,31326,16857,14469,8227,3004,17,34.2,0.8,108,1798,10836,2134754,1098,25461,33200,88400,167,1914,19792,370,7302,106404,186,4276,55223,18630,17482,81,4084,54178,17778,9977,11,13,284,1839,3711,19125,1506,183,4030,529,33,33,4066,3213,43125,171188,314741,13087,13486,60812,11751,6091,2888,2714,1218842,742793,323019,150077,653280,894,17.2,86,1587,968,417,46522,2,36665,4196,287263,73422,12233,22270,11979,9691,13320,46046,14598,27413,56291
"253",2019,"R22000","静岡県",3644000,1797000,1847000,3557000,1754000,1803000,447000,229000,218000,2107000,1086000,1021000,1089000,481000,608000,23457,12101,11356,1.44,42190,21642,20548,49294,29146,20148,56692,32083,24609,15848,5834,17.8,32.4,2.8,118,2390.5,20101,3636875,2841,70454,65300,142800,385,3377,37470,508,11521,190302,294,6948,98143,33378,31440,138,6747,96815,31854,16993,5,12,122,2124,2092,33505,990,95,7335,793,90,26,13984,1595,82682,357086,541300,21248,21834,110853,21863,11804,6084,3841,2138560,1415125,396765,311785,1201647,885,18.2,144,2732,1761,655,68562,212,64221,6340,280604,77574,12706,22524,12221,10278,14084,40252,8919,25200,56846
"265",2019,"R23000","愛知県",7552000,3780000,3773000,7316000,3661000,3655000,991000,508000,483000,4669000,2428000,2241000,1892000,843000,1049000,57145,29487,27658,1.45,69932,37162,32770,110970,64983,45987,110001,64204,45797,39933,12342,17,33.9,1.2,109,1555.5,42734,8880221,1202,66925,103500,470500,449,4994,77179,974,24435,414038,442,13670,206367,69675,64611,222,12369,193454,63287,37353,20,50,452,11248,7165,177029,3134,202,39858,3499,178,65,52271,10843,139404,628720,1123159,32334,30552,295374,64544,19644,21769,22571,5577566,2424483,2057289,1062581,2536734,915,21.3,286,5455,3735,1479,179582,258,156863,18393,287547,75820,23763,20885,10478,10041,13008,40436,11680,28458,52978
"277",2019,"R24000","三重県",1781000,870000,911000,1736000,847000,890000,218000,111000,106000,1034000,528000,506000,530000,231000,299000,11690,5983,5707,1.47,20811,10680,10131,25345,15485,9860,31596,18103,13493,7743,2864,16.9,32.1,2.7,109,1630,8901,1566920,1293,30664,28800,63400,184,1425,13909,373,6917,93515,168,3819,47916,16342,15441,70,3535,47154,15384,7859,4,7,83,1274,1467,13969,699,65,3070,336,38,41,4065,2395,40344,164288,247409,11060,11642,53945,10450,5401,3719,1174,961563,648577,130095,176541,628172,947,23.1,81,1519,822,432,45885,109,39806,4831,311319,74195,18778,20635,13003,10572,14486,56808,10646,31240,60957
"289",2019,"R25000","滋賀県",1414000,699000,715000,1385000,683000,702000,195000,100000,95000,852000,435000,417000,368000,164000,204000,10627,5480,5147,1.47,13221,6718,6503,25679,14708,10971,26090,14733,11357,6439,2095,15.8,32.8,1.6,125,1398.5,7578,1767946,500,14942,46800,89900,138,1350,12486,223,5568,81817,106,3115,40716,13732,13235,56,2827,38792,12752,7195,3,8,62,1064,824,30692,411,3,6783,1159,26,11,2024,1033,35163,144271,168480,9555,10403,53728,9060,4452,2521,2002,868489,536357,197057,129707,435270,837,17.8,50,1091,565,315,35148,459,34089,3799,303491,79385,20657,22786,11335,10478,16230,41618,13629,30122,57251
"301",2019,"R26000","京都府",2583000,1234000,1349000,2527000,1206000,1320000,299000,153000,146000,1531000,759000,772000,753000,322000,430000,16993,8755,8238,1.25,27028,13645,13383,52884,28169,24715,56327,30128,26199,11497,4022,16.9,34.3,1.9,111,1407.5,10160,2403576,995,43379,109100,587300,201,2228,23127,380,8376,123493,191,5141,65551,21903,21035,105,5276,69037,22541,15276,11,34,185,10194,3537,140970,1661,184,31174,3716,62,52,15890,4946,60535,269880,389024,15683,16088,106711,15051,4706,5031,5182,1205050,539303,421089,237802,796455,836,15.7,154,2451,1299,509,58882,86,57297,6886,257780,74071,10563,19911,9681,9870,13018,30135,14170,25234,51128
"313",2019,"R27000","大阪府",8809000,4227000,4582000,8623000,4136000,4486000,1043000,533000,509000,5333000,2641000,2691000,2434000,1052000,1382000,62557,31848,30709,1.31,90410,48057,42353,160815,85262,75553,150122,81890,68232,46395,16282,17.6,33.7,3.2,92,1219,29959,8329026,1477,112900,150500,1026500,587,6371,81942,999,28319,433013,521,16777,221426,75353,71350,260,14614,220504,72555,44855,23,55,616,13618,10030,223409,4512,601,48307,4298,223,39,74143,10358,226117,1032427,1615293,56483,49974,374008,68970,11977,30328,26352,4902964,1409677,2061144,1409684,3084929,953,13.1,475,8533,5517,1531,169448,589,160537,16135,270408,76693,19775,21085,10397,10152,13399,30963,10052,27349,50543
"325",2019,"R28000","兵庫県",5466000,2605000,2861000,5369000,2557000,2812000,674000,345000,329000,3202000,1573000,1629000,1591000,687000,904000,38043,19372,18671,1.41,57938,29589,28349,85647,45865,39782,92907,50058,42849,25109,9143,17.7,32.3,3.7,91,1177.5,20218,4607385,1490,47555,103100,314100,505,4140,48033,761,18609,287019,386,10388,143222,48624,46081,205,10005,136275,44846,28034,17,37,335,6810,5871,115811,2620,291,25724,2076,97,76,18958,7436,120023,528183,656040,28021,29953,216532,31567,9738,10287,11102,2725879,1162391,1012473,524664,1879230,926,15.7,316,5125,2986,1030,100210,1569,100945,9176,271236,74775,18533,16640,10465,9977,12643,33994,12170,27492,54547
"337",2019,"R29000","奈良県",1330000,626000,704000,1319000,621000,698000,158000,80000,77000,756000,365000,391000,417000,181000,236000,8323,4235,4088,1.31,14660,7471,7189,22198,11398,10800,26045,13381,12664,5249,2024,16.3,33.5,0.7,111,1482.5,5283,977236,417,9735,53200,167200,163,1203,11962,207,4911,68361,115,2877,36288,12207,11827,53,2585,35220,11661,6982,4,11,102,1544,1218,20374,461,160,4445,388,34,31,2770,3027,27645,118076,154785,6823,8027,50292,6209,2840,1424,1930,620614,340082,199044,80288,448835,905,16.2,75,1215,681,219,28461,198,27566,2998,314939,76536,27137,22165,13113,11179,14269,48332,16759,30742,54707
"349",2019,"R30000","和歌山県",925000,435000,490000,918000,432000,486000,107000,55000,52000,511000,251000,261000,306000,129000,177000,5869,3030,2839,1.46,12837,6374,6463,10499,5827,4672,14367,7588,6779,3860,1595,17.4,32.2,2.9,88,1625.5,4521,819246,691,17056,36400,83800,72,519,5270,249,3900,45438,129,2276,23809,8057,7887,47,2149,25524,8482,4367,1,4,26,704,385,7297,180,1,1572,241,23,31,2617,1753,22586,92060,111633,6810,7382,25001,5000,2831,1321,756,480089,335108,67797,72911,332927,952,12.2,75,1025,527,201,23833,54,18952,2367,242191,65239,13440,20035,8064,8495,12400,33189,9082,24093,48153
"361",2019,"R31000","鳥取県",556000,266000,290000,551000,264000,287000,70000,36000,34000,308000,155000,153000,178000,75000,103000,3988,2056,1932,1.63,7605,3646,3959,8048,4531,3517,9783,5397,4386,2389,885,16,33.6,1.5,151,1536.5,2715,440251,604,9971,19400,47400,20,244,2131,122,2444,28569,59,1428,14762,5003,4819,32,1386,14793,4805,2179,1,3,42,845,545,6712,264,3,1436,302,23,17,1939,1245,17263,70559,112337,6217,6397,12098,2647,1610,731,290,258305,192605,28594,35569,211921,1031,29.2,39,497,259,186,19537,0,17583,2141,280966,72470,16859,21901,11411,9882,11450,44073,7664,26828,58428
"373",2019,"R32000","島根県",674000,326000,349000,665000,321000,344000,83000,42000,40000,360000,185000,176000,231000,98000,133000,4594,2353,2241,1.68,9710,4759,4951,9841,5628,4213,11465,6229,5236,2625,945,15.9,31.7,1.8,150,1490.5,3230,592888,391,10535,21000,38600,90,390,3100,200,3168,34115,97,1881,17188,5821,5688,47,1744,18121,5949,2683,1,2,13,949,174,6944,88,8,1450,203,21,29,2411,477,19393,75750,133055,6981,7426,11484,4086,1748,1982,320,336372,206510,32304,93129,238088,955,20.8,40,715,268,295,23043,0,23122,3674,276112,66834,16988,24027,10314,10559,12698,43969,6055,22584,62085
"385",2019,"R33000","岡山県",1890000,909000,980000,1866000,897000,968000,237000,122000,115000,1080000,541000,539000,573000,246000,327000,13695,7059,6636,1.47,21944,11022,10922,27045,15136,11909,30311,16449,13862,8734,3064,16.5,32.8,0.4,78,921.5,9756,1854917,695,21051,29300,94800,238,1489,14535,391,7589,100129,164,4105,50698,17103,16423,86,3997,52458,17257,8934,9,17,183,3879,2275,38912,1054,73,8613,1008,54,15,9194,1302,51676,204486,377628,15871,16385,50751,11976,5793,4185,1911,1081277,676827,185374,212633,697593,1003,29,145,1650,988,440,47449,580,45281,5398,306454,73890,22597,20952,12746,11410,14322,48805,11971,27416,62344
"397",2019,"R34000","広島県",2804000,1362000,1442000,2761000,1339000,1422000,358000,183000,175000,1623000,824000,799000,823000,355000,468000,20034,10317,9717,1.49,31237,15680,15557,43984,25823,18161,49302,28071,21231,13185,4484,17.2,32.1,2.6,80,1381.5,11752,2519904,701,29594,56400,204300,240,2055,24365,479,9707,150797,268,5490,74394,24977,23775,130,5289,70884,23247,14257,5,20,106,4062,1552,55496,718,22,12247,1165,76,24,12510,2101,68797,287694,510517,22537,21798,80492,18377,5569,6728,5932,1571106,663037,570262,330466,930550,899,18.7,207,2563,1546,680,70020,128,65231,8388,308614,76752,25871,20339,12160,11983,13872,47197,15504,32141,52796
"409",2019,"R35000","山口県",1358000,645000,713000,1340000,637000,704000,158000,81000,77000,735000,369000,366000,466000,196000,270000,8771,4471,4300,1.56,19081,9296,9785,20887,12457,8430,25317,14113,11204,5620,2143,16.3,32.2,0.4,100,1974.5,6131,1108402,692,18427,25500,44900,170,1449,14505,306,5080,67363,165,3021,33949,11611,11207,80,2909,33099,11070,4898,5,10,94,1474,826,18449,392,8,3999,527,40,42,4678,2862,33895,136660,215460,11661,12416,30467,6859,3302,2308,1175,609927,372463,121546,112086,497856,991,32.7,117,1240,656,302,26754,40,25010,3505,306301,73467,21012,22143,10218,10052,15408,54271,10463,27655,61612
